week,date,topic,lecture,notes,supplemental reading,homework,lab
1,Aug 24,PL and functional programming,"course intro, overview",[lecture01](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kspmy1r7lim5r9),,[hw 1](https://docs.google.com/forms/d/e/1FAIpQLSdCurXOwDUz9Ob5DeFW9DAxsj8ZAvgtAqCBlw_wyZofV56APg/viewform?usp=sf_link) assigned,
,Aug 26,PL and functional programming,"PL building blocks, JavaScript intro",[lecture02](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kssedcos24s5fd),"[JavaScript Standard](https://www.ecma-international.org/ecma-262/10.0/index.html), Semantics of PL ch 1.1, 2.1-2.3",[hw 1](https://docs.google.com/forms/d/e/1FAIpQLSdCurXOwDUz9Ob5DeFW9DAxsj8ZAvgtAqCBlw_wyZofV56APg/viewform?usp=sf_link) due,
2,Aug 31,PL and functional programming,functional programming (simple functional language),[lecture03](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kszhjg7vdx039n),Semantics of PL ch 3,,
,Sep 2,PL and functional programming,"crash course on Linux, OCaml, OPAM, Git","[lecture04](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kt2btxjnfxk5sm), [VM/Linux Tutorial](https://www.youtube.com/watch?v=qs5hjKV7-oA)","[OCaml Online REPL](https://try.ocamlpro.com/), [Git Cheat Sheet](http://www.marcelofossrj.com/reference%20card/2017/07/26/git-reference.html) , [OCaml Exercises](https://ocaml.org/learn/tutorials/99problems.html) ",,
3,Sep 7,PL and functional programming,"crash course on Linux, OCaml, OPAM, Git","[lecture05](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kt9ir9e294l4dp), [OCaml Tutorial](https://www.youtube.com/watch?v=KeXhPleFeT4)","[Learn OCaml](https://ocaml.org/learn/), [OCaml Spec](https://caml.inria.fr/pub/docs/manual-ocaml/language.html), [Ocaml Module Reference](https://caml.inria.fr/pub/docs/manual-ocaml/libref/index.html)",[hw 2](https://github.com/mines-csci400/f21a-assignment-hw02) assigned,
,Sep 9,expressions and evaluation,"algebraic data types (ADTs), pattern matching",[lecture06](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/ktcb03txuer1tb),[Data Types](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/data/intro.html),,
4,Sep 14,*no class ([career day](https://www.mines.edu/careers/career-day/))*,,,,,[lab 1](https://github.com/mines-csci400/f21a-assignment-lab01) assigned
,Sep 16,expressions and evaluation,"algebraic data types (ADTs), pattern matching",[lecture07](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/ktmb4y1ze573xj),[Data Types](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/data/intro.html),[hw 2](https://github.com/mines-csci400/f21a-assignment-hw02) due,
5,Sep 21,expressions and evaluation,"syntax, grammars",[lecture08](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/ktt3jn5n3m84h8),Semantics of PL ch 1.2,[hw 3](https://github.com/mines-csci400/f21a-assignment-hw03) assigned,
,Sep 23,syntax and semantics,"lexing, parsing",[lecture09](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kttglc73jucq5),"[Lexing](https://courses.cs.washington.edu/courses/cse401/04sp/slides/02-lexing.pdf), [Parsing](https://courses.cs.washington.edu/courses/cse401/04sp/slides/03-parsing.pdf), [Lexing & Parsing](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/lex_parse.html)",,[lab 1](https://github.com/mines-csci400/f21a-assignment-lab01) due
6,Sep 28,syntax and semantics,OCaml parser generators,[lecture10](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/ktvn55bxrbc2wu),[Ocaml Parser Generators](https://caml.inria.fr/pub/docs/manual-ocaml/lexyacc.html),,[lab 2](https://github.com/mines-csci400/f21a-assignment-lab02) assigned
,Sep 30,syntax and semantics,induction and recursion,[lecture11](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/ktvn5g7qxc9448),Semantics of PL ch 1.3,[hw 3](https://github.com/mines-csci400/f21a-assignment-hw03) due,
7,Oct 5,syntax and semantics,"inductive definitions, structural induction",[lecture12](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kugc0o2wn1037v),Semantics of PL ch 1.4-1.5,[hw 4](https://github.com/mines-csci400/f21a-assignment-hw04) assigned,
,Oct 7,syntax and semantics,big-step operational semantics,[lecture13](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kugc0qyeyqm3ox),"[Environment Model](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/env_model.html), Semantics of PL ch 4",,[lab 2](https://github.com/mines-csci400/f21a-assignment-lab02) due
8,Oct 12,,(exam review),[lecture14](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kunlcf2csq474a),,,
,Oct 14,**midterm**,,,,"[lab 3](https://github.com/mines-csci400/f21a-assignment-lab03) assigned, [hw 4](https://github.com/mines-csci400/f21a-assignment-hw04) due",
9,Oct 19,*no class (holiday)*,,,,,
,Oct 21,*no class*,,,,,
10,Oct 26,higher-order functions,recursive higher-order functions,[lecture15](â€¦),"[Higher-order Programming](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/hop/intro.html), [Evaluating Lambdas](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/lambda_env_model.html)",[hw 5](https://github.com/mines-csci400/f21a-assignment-hw05) assigned,[lab 3](https://github.com/mines-csci400/f21a-assignment-lab03) due
,Oct 28,higher-order functions,static/dynamic scoping,[lecture16](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kvakf826e25367),[Evaluating Lambdas](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/lambda_env_model.html),,[lab 4](https://github.com/mines-csci400/f21a-assignment-lab04) assigned
11,Nov 2,higher-order functions,closures,[lecture17](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kvhlajwbtuj2xd),[Implementing Closures](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/lambda_env_model.html),,
,Nov 4,higher-order functions,OCaml standard libraries,[lecture18](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kvkf05gcds67cf),"[JavaScript Data Types](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Data_structures), [JavaScript Type Conversions](https://www.w3schools.com/js/js_type_conversion.asp)",[hw 5](https://github.com/mines-csci400/f21a-assignment-hw05) due,
12,Nov 9,higher-order functions,small-step operational semantics,[lecture19](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kvpthw0a10m5uo),[Type Checking](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/typecheck.html),[hw 6](https://github.com/mines-csci400/f21a-assignment-hw06) assigned,[lab 4](https://github.com/mines-csci400/f21a-assignment-lab04) due
,Nov 11,type checking,static/dynamic typing,[lecture20](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kvuez53d6244jc),[Hindley-Milner](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/interp/inference.html),,[lab 5](https://github.com/mines-csci400/f21a-assignment-lab05) assigned
13,Nov 16,type checking,type inference,[lecture21](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kvyif1lduc027x),Semantics of PL ch 5.1-5.2,,
,Nov 18,mutable variables and objects,objects/references,[lecture22](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kw4gzzml19h6k5),Semantics of PL ch 5.3,[hw 6](https://github.com/mines-csci400/f21a-assignment-hw06) due,
14,Nov 23,*no class*,,,,[hw 7](https://github.com/mines-csci400/f21a-assignment-hw07) assigned,
,Nov 25,*no class (holiday)*,,,,,[lab 6](https://github.com/mines-csci400/f21a-assignment-lab06) assigned
15,Nov 30,mutable variables and objects,garbage collection,[lecture23](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kwlmj3fpg39346),[Mutability](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/mut/intro.html),,
,Dec 2,advanced topics,,[lecture24](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kwpdtbpuh2b5iu),[Mutable Fields](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/mut/mutable_fields.html),[hw 7](https://github.com/mines-csci400/f21a-assignment-hw07) due,[lab 5](https://github.com/mines-csci400/f21a-assignment-lab05) due
16,Dec 7,,(exam review),[lecture25](https://piazza.com/class_profile/get_resource/ksp8kjp7orn3s4/kwx1r7ozo7535o),[Currying](https://www.cs.cornell.edu/courses/cs3110/2019fa/textbook/hop/currying.html),,
,Dec 9,*no class (study for finals)*,,,,,
17,Dec 14,*no class (final exam week)*,,,,,
,Dec 16,*no class (final exam week)*,,,,,[lab 6](https://github.com/mines-csci400/f21a-assignment-lab06) due
